Communication Management	Social Obligations Management	Task Management	Feedback Management-value	Feedback Management	Sentiment Management	Sentiment Management-value	Opinion Management	Opinion Management-value	Emotion Management	Emotion Management-value	Knowledge Management	Discourse Structure Management	Partiality	Conditionality	Certainty	Irony	datetime	participant	segment	raw
																	 	\	Je sais plus où il est par contre .	
																	 	\	Faudrait que tu voies le code que tu récupères en tapant ton raccourci magique , histoire de voir comment il l' interprète	
																	nov. 04 2014 20:06	Daerist	Une sorte de keylogger intégré ? 20:06 (Daerist)>+ x )	Une sorte de keylogger intégré ? x)
																	nov. 04 2014 20:06	Ezael	encore plus filou , un keylogger en genre ascii :)	encore plus filou, un keylogger en genre ascii :)
																	nov. 04 2014 20:06	Coolgeek	xev	xev
																	nov. 04 2014 20:06	Ezael	/ dev/input/event0 je crois	 /dev/input/event0 je crois
																	nov. 04 2014 20:07	Ezael	gnarff , je me souviens plus de la manip '	gnarff, je me souviens plus de la manip'
																	nov. 04 2014 20:08	Coolgeek	xev	xev
																	nov. 04 2014 20:09	Ezael	ou alors installer un truc , en effet	ou alors installer un truc, en effet
		inform													uncertain		nov. 04 2014 20:10	Ezael	mais je croyais me souvenir que la liste des événements keyboard était facilement accessible , pourtant .	mais je croyais me souvenir que la liste des événements keyboard était facilement accessible, pourtant. xev c'est juste un keylogger ou il a d'autres fonctions ?
																	 	\	xev c' est juste un keylogger ou il a d'autres fonctions ?	
																	nov. 04 2014 20:14	Daerist	Alors xev me donne tout un tas d'info ^^'	Alors xev me donne tout un tas d'info ^^'
					inform	unsatisfied											nov. 04 2014 20:14	Daerist	Mais ça défile vite , et je sais pas quoi regarder :(	Mais ça défile vite, et je sais pas quoi regarder :(
																	nov. 04 2014 20:15	Ezael	même quand tu ne fais rien ça s' affole ?	même quand tu ne fais rien ça s'affole ?
																	nov. 04 2014 20:15	Daerist	Quand j' appuie sur une touche , ça affiche qu'un bloc une fois ; quand je relache ma touche , pareil	Quand j'appuie sur une touche, ça affiche qu'un bloc une fois; quand je relache ma touche, pareil
																	nov. 04 2014 20:15	Daerist	Quand je fais rien , ça fait rien	Quand je fais rien, ça fait rien
					inform	unsatisfied											nov. 04 2014 20:15	Daerist	Par contre alt gr 0 par exemple : o	Par contre alt gr 0 par exemple :o
					inform	unsatisfied											nov. 04 2014 20:16	Daerist	ça défile	ça défile
					inform	unsatisfied											nov. 04 2014 20:16	Ezael	donc ça te confirme que tu as boen un souci , juste :/	donc ça te confirme que tu as boen un souci, juste :/
																	nov. 04 2014 20:17	Daerist	:(	:(
																	nov. 04 2014 20:17	Ezael	ça ne devrait te donner qu'un petit groupe de caractères	ça ne devrait te donner qu'un petit groupe de caractères
		requestForHelp							inform	unhappy							nov. 04 2014 20:19	Daerist	Une idée de là ou ça peut venir ? 20:19 (Daerist)>+ :$	Une idée de là ou ça peut venir ? :$
									inform	love							nov. 04 2014 20:20	Daerist	( je cherche toujours l' accent sur le u ... 20:20 (Daerist)>+ ^^' )	( je cherche toujours l'accent sur le u... ^^' )
																	nov. 04 2014 20:20	Ezael	euh , je lis là sur superuser.com un user dont là touche alt gr sous Vbox avait le même effet que la touche Ctrl .	euh, je lis là sur superuser.com un user dont là touche alt gr sous Vbox avait le même effet que la touche Ctrl. Il a résolu ça en désactivant la capture de clavier auto dans les préférences
																	 	\	Il a résolu ça en désactivant la capture de clavier auto dans les préférences	
																	nov. 04 2014 20:21	Ezael	est ce que ça pourrait être aussi simple ... 20:21 (Ezael)>+ ? :)	est ce que ça pourrait être aussi simple ... ? :)
	inform								inform	happy							nov. 04 2014 20:22	Daerist	Je cherche : D	Je cherche :D
																	nov. 04 2014 20:23	Ezael	sur le gestionnaire , dans fichier/paramètres/entrées	sur le gestionnaire, dans fichier/paramètres/entrées
																	nov. 04 2014 20:23	Daerist	Ow : o	Ow :o
					inform	satisfied											nov. 04 2014 20:23	Daerist	C'était ça >_<	C'était ça >_<
																	nov. 04 2014 20:23	Daerist	Merci beaucoup : D	Merci beaucoup :D
																	nov. 04 2014 20:24	Ezael	bon ben tu auras au moins récupéré une iso ^^	bon ben tu auras au moins récupéré une iso ^^ Pratique à garder sous l'coude, ça
																	 	\	Pratique à garder sous l' coude , ça	
																	nov. 04 2014 20:24	Daerist	(Je suis étudiant en DUT Info ...	(Je suis étudiant en DUT Info... ça commençait à être gênant en TP de ne pas pouvoir taper d'accolades / de crochets / ... ^^')
																	 	\	ça commençait à être gênant en TP de ne pas pouvoir taper d'accolades / de crochets / ... 20:24 (Daerist)>+ ^^')	
		answerNegatively														ironie	nov. 04 2014 20:24	Ezael	meuhh noooon	meuhh noooon
							inform	depreciate								ironie	nov. 04 2014 20:35	Exagone313	fallait mettre en qwerty 20:36 (Exagone313)> :P	fallait mettre en qwerty
																	nov. 04 2014 20:36	Exagone313		:P
																	nov. 04 2014 20:41	Daerist	Mettre en qwerty sur un clavier azerty	Mettre en qwerty sur un clavier azerty
							inform	depreciate									nov. 04 2014 20:41	Daerist	C'est hard après pour écrire	C'est hard après pour écrire
																	nov. 04 2014 20:42	Daerist	"Comme les jeux qui affichent "" Rouge "" écrit en bleu , puis en jaune , ... 20:42 (Daerist)>+ ou il faut appuyer lorsque la couleur écrite correspond à la couleur du texte"	"Comme les jeux qui affichent ""Rouge"" écrit en bleu, puis en jaune, ... ou il faut appuyer lorsque la couleur écrite correspond à la couleur du texte"
																	nov. 04 2014 20:44	Exagone313	si tu peux écrire sans regarder ton clavier alors tu peux écrire avec un clavier qwerty facilement	si tu peux écrire sans regarder ton clavier alors tu peux écrire avec un clavier qwerty facilement
correct																	nov. 04 2014 20:44	Exagone313	euh je veux dire avec une disposition qwertty	euh je veux dire avec une disposition qwertty
																	nov. 04 2014 20:44	Daerist	"Si lorsque j' appuie sur ma touche "" a "" je dois pensais qu'un "" q "" va apparaître"	"Si lorsque j'appuie sur ma touche ""a"" je dois pensais qu'un ""q"" va apparaître"
									inform	happy		conclude					nov. 04 2014 20:44	Exagone313	enfin bref ^^	enfin bref ^^
																	nov. 04 2014 20:45	Exagone313	faut que j' achète un clavier qwerty canadien avec tous els accents	faut que j'achète un clavier qwerty canadien avec tous els accents
							inform	depreciate								ironie	nov. 04 2014 20:45	Daerist	ça nécessite un petit temps d'adaptation à mon avis : p	ça nécessite un petit temps d'adaptation à mon avis :p
																	nov. 04 2014 20:45	Daerist	Après c' est vrai , c' est pas infaisable ;)	Après c'est vrai, c'est pas infaisable ;)
																	nov. 04 2014 20:46	Daerist	J'ai appris récemment que nous étions pratiquement , nous petits français , les seuls à posséder des claviers azerty	J'ai appris récemment que nous étions pratiquement, nous petits français, les seuls à posséder des claviers azerty
																	nov. 04 2014 20:47	Ezael	l'exception française , Môssieur !	l'exception française, Môssieur !
																	nov. 04 2014 20:47	Ezael	super pénible , trop souvent : p	super pénible, trop souvent :p
																	nov. 04 2014 20:48	Nao		Nick Scorp-
																	nov. 04 2014 20:48	Nao	Bonsoir	Bonsoir
																	nov. 04 2014 21:22	AlexxC	bonsoir	bonsoir
																	nov. 04 2014 21:26	atchoum222	salut	salut
																	nov. 04 2014 21:28	Nao	Bonsoir AlexxC et atchoum222	Bonsoir AlexxC  et atchoum222
																	nov. 04 2014 21:28	atchoum222	salut	salut
																	nov. 04 2014 21:30	AlexxC	yo Nao atchoum222	yo Nao atchoum222
																	nov. 04 2014 21:37	mezen	t'as la crève ?	t'as la crève ?
							inform	depreciate									nov. 04 2014 21:39	atchoum222	oui avec ce temps de merde là	oui avec ce temps de merde là
																	nov. 05 2014 01:08	Dae-	bonsoir	bonsoir
																	nov. 05 2014 01:09	Dae-	y a des gens qui on déja installer ubuntu sur un macbookpro ?	y a des gens qui on déja installer ubuntu sur un macbookpro ?
																	nov. 05 2014 01:37	Dae-	j'ai installer correctement la 14.10 x64 de Lubuntu sur mac mais quant il reboot il affiche un ecran blanc avec un dossier et un ? 01:37 (Dae-)>+ dessus ( macbookpro de 2010 )	j'ai installer correctement la 14.10 x64 de Lubuntu sur mac mais quant il reboot il affiche un ecran blanc avec un dossier et un ? dessus (macbookpro de 2010)
																	nov. 05 2014 04:28	Dae-	y reste des gens ?	y reste des gens ?
					inform	unsatisfied											nov. 05 2014 04:29	Dae-	j'ai un probleme avec mon install de grub j' ai suivie plusieurs méthofr mais quant j' essaye de dl les mise a jour ou le grub sa me dit qu'il arrive pas a joindre fr.archivre.ubuntu	j'ai un probleme avec mon install de grub j'ai suivie plusieurs méthofr mais quant j'essaye de dl les mise a jour ou le grub sa me dit qu'il arrive pas a joindre fr.archivre.ubuntu
																	nov. 05 2014 07:44	Dae-	salut SurcouF	salut SurcouF
																	nov. 05 2014 12:22	floown	kikoo	kikoo
																	nov. 05 2014 12:24	floown	pour un serveur dédié , sous Ubuntu ( serveur lol ) vous mettriez quel genre de partitionnement ?	pour un serveur dédié, sous Ubuntu (serveur lol) vous mettriez quel genre de partitionnement ? Chez Online ils me proposent ça par défaut http://pix.toile-libre.org/?img=1415186424.png mais la partition /data perdre en vitesse si l'héhergait mes sites ici au lieu d'un classe /var/www dans la racine, pas vrai ?
																	 	\	Chez Online ils me proposent ça par défaut http://pix.toile-libre.org/?img=1415186424.png	
																	 	\	mais la partition / data perdre en vitesse si l' héhergait mes sites ici au lieu d'un classe / var/www dans la racine , pas vrai ?	
																	nov. 05 2014 12:24	floown	* me ferait perdre en vitesse	* me ferait perdre en vitesse
																	nov. 05 2014 12:25	floown	* classique	* classique
																	nov. 05 2014 12:26	floown	* j' hébergeais	* j'hébergeais
																	nov. 05 2014 12:26	floown	:\	:\
																	nov. 05 2014 12:28	Marmotte	"pourquoi "" perdre en vitesse "" ?"	"pourquoi ""perdre en vitesse"" ?"
																	nov. 05 2014 12:33	floown	bah avec la réécriture des chemins , non ?	bah avec la réécriture des chemins, non ?
																	nov. 05 2014 12:33	floown	c'est même pas une / home qu'ils proposent	c'est même pas une /home qu'ils proposent
		commit															nov. 05 2014 12:35	floown	bon je vais faire une / boot comme ils proposent et une / avec tout dedans	bon je vais faire une /boot comme ils proposent et une / avec tout dedans, en cas de panne de disque le problème serait le même qu'avec une /data en plus
																	 	\	en cas de panne de disque le problème serait le même qu'avec une / data en plus	
																	nov. 05 2014 12:41	floown	comme nom de la machine , je mets quoi ?	"comme nom de la machine, je mets quoi ? J'ai réservé un nom de domaine pour mes services, mettons monserveur.com, le nom de la machine c'est ce qui est avant ? Genre ""mail"" pour mail.monserveur.com ?"
																	 	\	J'ai réservé un nom de domaine pour mes services , mettons monserveur.com , le nom de la machine c' est ce qui est avant ?	
																	 	\	"Genre "" mail "" pour mail.monserveur.com ?"	
																	nov. 05 2014 13:00	pierre__	bonjour .	bonjour. comment ajouter un dossier dans les raccourcis de ce pu*** de Unity ?
																	 	\	comment ajouter un dossier dans les raccourcis de ce pu *** de Unity ?	
																	nov. 05 2014 13:01	pierre__	même avec google je n'ai pas trouvé comment faire	même avec google je n'ai pas trouvé comment faire
																	nov. 05 2014 13:10	dae_	local shared sauf erreur	local shared sauf erreur
							inform	depreciate								ironie	nov. 05 2014 13:10	dae_	et puis pourquoi t' a pris unity aussi = D	et puis pourquoi t'a pris unity aussi =D
		requestForInformation	evaluation	answerNegatively													nov. 05 2014 13:10	pierre__	comment cela ?	comment cela ? où es ce ? je l'ai en français
		requestForInformation															 	\	où es ce ?	
		answer															 	\	je l' ai en français	
																	nov. 05 2014 13:10	pierre__	j'ai juste instlalé le 12.10 car mon scanner ne marchait plus avec la 14 , mais en fait il marche toujours plus maintennat	j'ai juste instlalé le 12.10 car mon scanner ne marchait plus avec la 14, mais en fait il marche toujours plus maintennat
																	nov. 05 2014 13:10	pierre__	tant pis	tant pis
																	nov. 05 2014 13:11	dae_	pc portable ?	pc portable ?
																	nov. 05 2014 13:11	pierre__	fixe mais ancien	fixe mais ancien
																	nov. 05 2014 13:11	dae_	perso je suis sous Lubuntu ( lxde ) 14.10	perso je suis sous Lubuntu (lxde) 14.10
																	nov. 05 2014 13:11	dae_	pour mon scanner j' avais un programme fourni avec	pour mon scanner j'avais un programme fourni avec
																	nov. 05 2014 13:12	pierre__	vuescan ?	vuescan ?
																	nov. 05 2014 13:12	dae_	et pour ajouté des dossier j' utilise mainmenu ( openmenu )	et pour ajouté des dossier j'utilise mainmenu (openmenu)
																	nov. 05 2014 13:12	dae_	pour modifier mes dossier	pour modifier mes dossier
		inform															nov. 05 2014 13:12	pierre__	je ne prends pas lubuntu car ce pc est pour mon grand père qui a ses petites habitudes avec cette interface	je ne prends pas lubuntu car ce pc est pour mon grand père qui a ses petites habitudes avec cette interface
		answerPositively													uncertain		nov. 05 2014 13:12	dae_	ouai je crois que c' est ça	ouai je crois que c'est ça
							inform	depreciate									nov. 05 2014 13:12	pierre__	ok j' ai dl vuescan mais il est en version gratuite assez laide	ok j'ai dl vuescan mais il est en version gratuite assez laide
							inform	depreciate									nov. 05 2014 13:12	pierre__	je ne veux pas payer 40 € pour ça	je ne veux pas payer 40 € pour ça
									inform	love							nov. 05 2014 13:13	pierre__	dae et sinon , je veux mettre thunderbird en automatiquement ouvert à l' allumage , mais je trouve pas la commande	dae et sinon, je veux mettre thunderbird en automatiquement ouvert à l'allumage, mais je trouve pas la commande
																	nov. 05 2014 13:13	dae_	Lubuntu c' est ubuntu plus simple plus rapide toujours autend gratuit et plus configurable	Lubuntu c'est ubuntu plus simple plus rapide toujours autend gratuit et plus configurable
																	nov. 05 2014 13:13	pierre__	je suis dans applications au démarrage , mais je connai spas la ligne pour thundebird ,	je suis dans applications au démarrage, mais je connai spas la ligne pour thundebird, tu vois ce que je veux dire ?
			evaluation	requestForInformation													 	\	tu vois ce que je veux dire ?	
			execution	answerPositively													nov. 05 2014 13:14	pierre__	dae ok	dae ok mais lubuntu a une inteface différente visuellement, et mon grand père n'y est pas habitué
																	 	\	mais lubuntu a une inteface différente visuellement , et mon grand père n'y est pas habitué	
																	nov. 05 2014 13:14	dae_	/home/user/.config/autostart	/home/user/.config/autostart
																	nov. 05 2014 13:15	dae_	colle ton raccourcis là	colle ton raccourcis là
																	nov. 05 2014 13:15	dae_	Simple Scan 13:15 (dae_)> moi j' ai	Simple Scan
																	nov. 05 2014 13:15	dae_		moi j'ai
																	nov. 05 2014 13:15	dae_	mais tous est plus simple quant t' a pas unity : D	mais tous est plus simple quant t'a pas unity :D
			interpretation	answerNegatively													nov. 05 2014 13:16	pierre__	je ne comprends pas.	"je ne comprends pas. je suis dans ""applications au démarrage"", et je cherhce à ajouter thunderbird"
																	 	\	"je suis dans "" applications au démarrage "","	
																	 	\	et je cherhce à ajouter thunderbird	
			interpretation	answerNegatively													nov. 05 2014 13:16	pierre__	/home/user/.config/autostart , je ne vois quio faier de cette info	/home/user/.config/autostart, je ne vois quio faier de cette info
																	nov. 05 2014 13:16	dae_	/ home/pierre/.config/autostart	 /home/pierre/.config/autostart
																	nov. 05 2014 13:16	dae_	http://openclassrooms.com/informatique/exportPdf/reprenez-le-controle-a-l-aide-de-linux	http://openclassrooms.com/informatique/exportPdf/reprenez-le-controle-a-l-aide-de-linux
																	nov. 05 2014 13:16	dae_	cadeau	cadeau
																	nov. 05 2014 13:17	dae_	pour toi et ton grand pere ^^	pour toi et ton grand pere ^^
			execution	answerPositively													nov. 05 2014 13:17	pierre__	ok	ok merci ^
																	 	\	merci ^	
																	nov. 05 2014 13:17	pierre__	^^	^^
									inform	fear				conditional			nov. 05 2014 13:17	pierre__	franchement j' utilise linux parce que j' ai peur qu'il attrape des virus ,	"franchement j'utilise linux parce que j'ai peur qu'il attrape des virus, mais sinon je prendrai windosws. Je ne vois pas l'int�r�t de linux, hormis pour ceux qui ne veulent pas ""payer"" windows"
																	 	\	mais sinon je prendrai windosws .	
							inform	depreciate									 	\	Je ne vois pas l' intérêt de linux ,	
														conditional			 	\	"hormis pour ceux qui ne veulent pas "" payer "" windows"	
														conditional			nov. 05 2014 13:18	pierre__	ou les informaticiens bien sûr	ou les informaticiens bien sûr
														conditional			nov. 05 2014 13:18	dae_	sa depend de ton utilisation	sa depend de ton utilisation
																	nov. 05 2014 13:18	dae_	perso je suis rester 10 ans sur windows XP sans virus	perso je suis rester 10 ans sur windows XP sans virus
																	nov. 05 2014 13:18	dae_	parsque je savais se que je faisais	parsque je savais se que je faisais
		commit					inform	promote									nov. 05 2014 13:18	dae_	la je passe sur Lubuntu pour la puissance et pour pouvoir faire se que je veux du PC	la je passe sur Lubuntu pour la puissance et pour pouvoir faire se que je veux du PC
																	nov. 05 2014 13:19	dae_	et parsque j' ai la flemme de retrouvé mes CD de Xp	et parsque j'ai la flemme de retrouvé mes CD de Xp
																	nov. 05 2014 13:19	dae_	et puis sa change un peu	et puis sa change un peu
																	nov. 05 2014 13:19	dae_	lis le manuel que je t' ai donner tu comprendra	lis le manuel que je t'ai donner tu comprendra
																	nov. 05 2014 13:19	pierre__	d'accord ,	d'accord, merci
																	 	\	merci	
																	nov. 05 2014 13:20	dae_	sudo apt-get install - y cmatrix && cmatrix && apt-get update - y && apt-get autoremove && apt-get dist-upgrade	sudo apt-get install -y cmatrix && cmatrix && apt-get update -y && apt-get autoremove && apt-get dist-upgrade
																	nov. 05 2014 13:20	dae_	cadeau	cadeau
																	nov. 05 2014 13:21	dae_	copie colle toute la ligne sa devrais resoudre tes problemes	copie colle toute la ligne sa devrais resoudre tes problemes
																	nov. 05 2014 13:21	dae_	dans un terminal evidement	dans un terminal evidement
																	nov. 05 2014 13:23	dae_	floown le nom de ta machine n'a ( sauf erreur ) aucune lien avec ton serveur	floown le nom de ta machine n'a (sauf erreur) aucune lien avec ton serveur
																	nov. 05 2014 13:24	dae_	j'ai connu des serveur qui s' appeller bart , lisa et maggie pourtais c' etais bien des serveur irc	j'ai connu des serveur qui s'appeller bart, lisa et maggie pourtais c'etais bien des serveur irc
																	nov. 05 2014 13:35	pierre__	Rebonjour .	Rebonjour. Je ne trouve absolument pas comment réactiver l'affichage permanant de la barre de menu dans Firefox. Je suis énervé. Pourtant j'ai cherché sur google mais rien ne correspond à mon interface firefox.
					inform	unsatisfied											 	\	Je ne trouve absolument pas comment réactiver l' affichage permanant de la barre de menu dans Firefox .	
									inform	anger							 	\	Je suis énervé .	
					inform	unsatisfied											 	\	Pourtant j' ai cherché sur google mais rien ne correspond à mon interface firefox .	
																	nov. 05 2014 13:36	pierre__	"Par exemple je vais dans Personnaliser , et en bas je devrai disent ils , avoir une option "" afficher barre de menu """	"Par exemple je vais dans Personnaliser, et en bas je devrai disent ils, avoir une option ""afficher barre de menu"""
																	nov. 05 2014 13:36	pierre__	mais j' ai rien	mais j'ai rien
							inform	depreciate									nov. 05 2014 13:37	pierre__	Pourtant c' est ce problème est d'une simplicité enfantine , mais i lest plus fort que moi visiblement :(	Pourtant c'est ce problème est d'une simplicité enfantine, mais i lest plus fort que moi visiblement :(
																	nov. 05 2014 13:39	pierre__	selon google , il se pourrait qu'il soit impossible de faire apparaitre la barre de moneu de firefox de manière permnant , à cause d'Unity .	selon google, il se pourrait qu'il soit impossible de faire apparaitre la barre de moneu de firefox de manière permnant, à cause d'Unity. C'est une blague ?
		requestForInformation							inform	anger							 	\	C'est une blague ?	
																	nov. 05 2014 13:42	pierre__	hé les amis , s' ils vous plaites , dites moi comment faire apparaitre en permanance la barre de menu dans firefox :)	hé les amis, s'ils vous plaites, dites moi comment faire apparaitre en permanance la barre de menu dans firefox :)
																	nov. 05 2014 13:45	pierre__	doit y avoir un problème avec ubuntu , car sur le net toutes les solutions n'existent même pas dans l' interface de firefox	doit y avoir un problème avec ubuntu, car sur le net toutes les solutions n'existent même pas dans l'interface de firefox
																	nov. 05 2014 13:45	pierre__	pourtant il s' agit d'une version d'ubuntu mise à jour , étrange	pourtant il s'agit d'une version d'ubuntu mise à jour, étrange
			interpretation	requestForInformation										conditional			nov. 05 2014 13:53	yolateng0	si j ai bien compris en lisant rapidement ! 13:53 (yolateng0)>+ tu voudrais faire une install propre sur un ordinateur pas tout jeune et pour un utlisateur débutant ?	pierre_ > si j ai bien compris en lisant rapidement ! tu voudrais faire une install propre sur un ordinateur pas tout jeune et pour un utlisateur débutant?
																	nov. 05 2014 13:55	yolateng0	tu pourrais aller du côté de Handilinux !	pierre_ > tu pourrais aller du côté de Handilinux! http://handylinux.org/
																	 	\	http://handylinux.org /	
																	nov. 05 2014 13:56	Marmotte	il est parti :)	il est parti :)
																	nov. 05 2014 14:16	mregg	Bonjour à tous	Bonjour à tous
			evaluation	requestForInformation								reintroduceTopic					nov. 05 2014 14:16	mregg	Sp4rKy:tu te souviens de mon problème de connexion réseau en statique , hier ?	Sp4rKy:tu te souviens de mon problème de connexion réseau en statique, hier ?
																	nov. 05 2014 14:17	mregg	Sp4rKy:et bien il s' avère que toutes les machines du réseau étaient configurées en static	Sp4rKy:et bien il s'avère que toutes les machines du réseau étaient configurées en static
																	nov. 05 2014 14:18	mregg	Sp4rKy:et on m' avait réservé pour ce serveur ... 14:18 (mregg)>+ l'IP du switch !	Sp4rKy:et on m'avait réservé pour ce serveur... l'IP du switch !
			evaluation	requestForInformation													nov. 05 2014 14:22	Marmotte	l'IP du switch ?	l'IP du switch ?
			evaluation	answerPositively													nov. 05 2014 14:27	mregg	oui , l' IP du switch ( manageable )	oui, l'IP du switch (manageable)
			execution	answerPositively													nov. 05 2014 14:28	Marmotte	ah	ah
																	nov. 05 2014 14:28	mregg	c'est le pb quand on ne fait que des static , et qu'on ne documente rien	c'est le pb quand on ne fait que des static, et qu'on ne documente rien
			execution	answerPositively													nov. 05 2014 14:28	Marmotte	ouais ,	ouais, bah l'IP d'une machine quelconque, du coup :P
																	 	\	bah l' IP d'une machine quelconque , du coup : P	
																	nov. 05 2014 14:28	Marmotte	que ce soit le switch ou autre , ça ne change rien :)	que ce soit le switch ou autre, ça ne change rien :)
																	nov. 05 2014 14:29	Marmotte	"coté static , j' ai un client qui a son LAN en 128.1.0.0/24 , et qui attribue des IP en mode "" si ça fonctionne , c' est que c' est libre "", donc ... 14:29 (Marmotte)>+ j'ai l' habitude de tout vérifier ^^"	"coté static, j'ai un client qui a son LAN en 128.1.0.0/24, et qui attribue des IP en mode ""si ça fonctionne, c'est que c'est libre"", donc... j'ai l'habitude de tout vérifier ^^"
																	nov. 05 2014 14:29	mregg	ben si , si ça avait été une IP quelconque , je n'aurai pas pu joindre la machine , parce que le switch n'aurait pas su où envoyer les paquets .	ben si, si ça avait été une IP quelconque, je n'aurai pas pu joindre la machine, parce que le switch n'aurait pas su où envoyer les paquets. Mais là, au bout de 10 min., l'IP revenait directement au switch.
																	 	\	Mais là , au bout de 10 min ., l' IP revenait directement au switch .	
																	nov. 05 2014 14:30	floown	oui tu avais raison ,	oui tu avais raison, c'est juste le nom machine à des fins de gestions, si on avait plusieurs serveurs chez eux
																	 	\	c' est juste le nom machine à des fins de gestions , si on avait plusieurs serveurs chez eux	
																	nov. 05 2014 14:31	mregg	oui , tout vérifier tu as raison ,	"oui, tout vérifier tu as raison, mais comme ça venait du ""Directeur IT"" c'était délicat de lui expliquer qu'il ne sait peut être pas trop de quoi il parle :("
																	 	\	"mais comme ça venait du "" Directeur IT "" c' était délicat de lui expliquer qu'il ne sait peut être pas trop de quoi il parle :("	
																	nov. 05 2014 14:31	floown	* gestion	* gestion
																	nov. 05 2014 14:33	floown	!roulette	!roulette
					inform	unsatisfied											nov. 05 2014 14:33	floown	marche plus : p	marche plus :p
																	nov. 05 2014 14:40	mregg	squid me renvoit l' erreur suivante :	squid me renvoit l'erreur suivante : Invalid ACL type '192.168.71.1/255.255.255.0'... une idée de ce qui ne va pas ?
																	 	\	Invalid ACL type ' 192.168.71.1/255.255.255.0 '...	
		requestForHelp															 	\	une idée de ce qui ne va pas ?	
																	nov. 05 2014 15:39	GeekShadow	hello	hello
																	nov. 05 2014 15:39	GeekShadow	j'ai fait un apt-get autoremove sur mon serv ,	j'ai fait un apt-get autoremove sur mon serv, c'est normal d'avoir ce message pour grub ?
																	 	\	c' est normal d'avoir ce message pour grub ? 15:39 (GeekShadow)> Attention : 15:39 (GeekShadow)>+ Définir GRUB_TIMEOUT à une valeur non nulle si GRUB_HIDDEN_TIMEOUT est définie n’est plus possible .	
																	nov. 05 2014 15:39	GeekShadow		Attention : Définir GRUB_TIMEOUT à une valeur non nulle si GRUB_HIDDEN_TIMEOUT est définie n’est plus possible.
																	nov. 05 2014 17:02	Ool	oui ,	oui, ton autoremove doit supprimer des anciens kernel, ils sont donc supprimés du menu de grub
																	 	\	ton autoremove doit supprimer des anciens kernel , ils sont donc supprimés du menu de grub	
																	nov. 05 2014 17:02	Ool	et comme tu n'as pas 0 au GRUB_TIMEOUT , il y a des warning	et comme tu n'as pas 0 au GRUB_TIMEOUT, il y a des warning
																	nov. 05 2014 17:03	Ool	pas bien grave non plus	pas bien grave non plus
																	nov. 05 2014 17:04	Ool	donc soit tu ignores les warning	donc soit tu ignores les warning
																	nov. 05 2014 17:04	Ool	soit tu met 0 à GRUB_TIMEOUT dans / etc/default/grub	soit tu met 0 à GRUB_TIMEOUT dans /etc/default/grub
																	nov. 05 2014 17:32	tobiasBora	Bonjour !	Bonjour !
					inform	unsatisfied											nov. 05 2014 17:34	tobiasBora	"Afin d'activer de manière permanente le mode A2DP pour le bluetooth ( qui permet d'avoir un son haute qualité depuis mes oreillettes bluetooth ) j' ai du désactiver la fonction "" Socket "" dans le fichier / etc/bluetooth/audio.conf ."	"Afin d'activer de manière permanente le mode A2DP pour le bluetooth (qui permet d'avoir un son haute qualité depuis mes oreillettes bluetooth) j'ai du désactiver la fonction ""Socket"" dans le fichier /etc/bluetooth/audio.conf. Savez vous à quoi correspond cette fonction ? Ca m'embète de débrancher des fonctions comme ça"
																	 	\	Savez vous à quoi correspond cette fonction ?	
					inform	unsatisfied											 	\	Ca m' embète de débrancher des fonctions comme ça	
					inform	unsatisfied											nov. 05 2014 17:57	tobiasBora	En fait le bug est toujours présent	En fait le bug est toujours présent
																	nov. 05 2014 18:37	Doowyn	Bonsoir	Bonsoir je viens vers vous pour savoir si il est possible d'installé ubuntu avec 1G de ram?
																	 	\	je viens vers vous pour savoir si il est possible d'installé ubuntu avec 1G de ram ?	
																	nov. 05 2014 18:52	Ool	ouic'est possible ,	ouic'est possible, mais avec peu de ram autant utiliser un gestionnaire graphique léger comme lxde, le gestionnaire de lubuntu
																	 	\	mais avec peu de ram autant utiliser un gestionnaire graphique léger comme lxde , le gestionnaire de lubuntu	
																	nov. 05 2014 18:53	Ool	You will need at least 384MiB of RAM to install from this image :	 You will need at least 384MiB of RAM to install from this image: http://cdimage.ubuntu.com/lubuntu/releases/14.04/release/
																	 	\	http://cdimage.ubuntu.com/lubuntu/releases/14.04/release /	
																	nov. 05 2014 18:54	Ool	remarque il dit pareil pour l' iso standard :	remarque il dit pareil pour l'iso standard: http://releases.ubuntu.com/14.04.1/, mais là à l'usage c'est clairement trop juste
																	 	\	http://releases.ubuntu.com/14.04.1 /, mais là à l' usage c' est clairement trop juste	
																	nov. 05 2014 19:00	yolateng0	bonjour ,	bonjour , je recherche une interface graphique pour connecter en SCP? laquelle utiliser
									inform	love							 	\	je recherche une interface graphique pour connecter en SCP ?	
																	 	\	laquelle utiliser	
																	nov. 05 2014 19:00	Doowyn	Merci pour les réponse	Merci pour les réponse
		commit															nov. 05 2014 19:00	Doowyn	Je vais regarder lubuntu	Je vais regarder lubuntu
		answer															nov. 05 2014 19:02	Corwin_	filezilla , c' est plus du sftp mais tu verras pas la différence	filezilla, c'est plus du sftp mais tu verras pas la différence
		inform			inform	unsatisfied											nov. 05 2014 19:16	yolateng0	ben Remmina est toujours en bug toujours sur le sftp depuis 2012 ...	ben Remmina est toujours en bug toujours sur le sftp depuis 2012... mais je l'aime toujours.
		inform							inform	love							 	\	mais je l' aime toujours .	
